Logical-Mathematical Raw Score,Logical-Mathematical Percent,Logical-Mathematical Rank,Musical Raw Score,Musical Percent,Musical Rank,Naturalist Raw Score,Naturalist Percent,Naturalist Rank,Verbal Linguistic Raw Score,Verbal Linguistic Percent,Verbal Linguistic Rank,Interpersonal Raw Score,Interpersonal Percent,Interpersonal Rank,Bodily-Kinesthetic Raw Score,Bodily-Kinesthetic Percent,Bodily-Kinesthetic Rank,Spatial-Visual Raw Score,Spatial-Visual Percent,Spatial-Visual Rank,Intrapersonal Raw Score,Intrapersonal Percent,Intrapersonal Rank,REALISTIC Score,INVESTIGATIVE Score,ARTISTIC Score,SOCIAL Score,ENTERPRISING Score,CONVENTIONAL Score,Analytical Domain Score,Interactive Domain Score,Introspective Domain Score,Career_Singing,Career_Composing,Career_Playing Instrument,Career_Dancing,Career_General Physician,Career_Surgeon,Career_Veterinary Doctor,Career_Nurse,Career_IT,Career_Non-IT,Career_Architect,Career_Graphics,Career_Fashion Designer,"Career_Sculpture, Jwewellery, Interior Decorator","Career_Furniture, Shoe etc",Career_Operation,Career_Finance,Career_Marketing,Career_Hotel Management,Career_Teacher/ Corporate Counselor,Career_Trainer,Career_Player - Team Game,Career_Player - Individual game,Career_Coach,Career_Sports Management,Career_Journalist,Career_News Anchor/ Tv Radio Anouncer,Career_Anchor,Career_Stage/ Film Actor,Career_COMP/IT/DS/AI,Career_Mech/Civil/Mechatronic/Chemical
30,12.3,3,39,15.98,1,26,10.66,8,36,14.75,2,29,11.89,4,27,11.07,7,29,11.89,4,28,11.48,6,6.63,7.13,6.92,6.88,7.17,7.25,38.93,37.7,23.36,90.75,86.13,85.11,80.29,74.73,71.82,72.54,76.36,72.41,74.86,75.76,72.17,74.74,75.98,75.36,76.28,73.3,78.53,70.7,82.25,78.78,74.86,76.52,76.11,79.55,78.5,80.42,82.25,78.09,70.8,73.41
35,12.77,3,40,14.6,1,30,10.95,7,32,11.68,6,39,14.23,2,30,10.95,7,33,12.04,5,35,12.77,3,7.5,8.31,8.17,8.63,8.67,8.75,38.32,36.86,25.18,95.72,92.81,86.25,91.37,85.0,77.29,82.19,84.78,81.88,84.13,78.63,67.92,74.02,78.44,71.25,89.22,85.31,87.21,79.56,89.4,86.58,84.34,84.44,88.67,89.46,79.47,88.91,89.4,86.43,70.8,73.41
24,10.67,7,32,14.22,1,30,13.33,3,22,9.78,8,30,13.33,3,31,13.78,2,29,12.89,5,27,12.0,6,7.63,6.94,7.17,7.5,7.08,6.38,38.22,36.89,24.89,79.06,71.65,76.88,71.1,73.21,72.17,73.53,66.43,69.2,71.84,70.19,73.51,70.73,66.03,70.71,66.82,65.67,66.64,64.72,69.65,64.34,71.5,72.16,70.93,69.0,62.41,68.16,70.9,71.53,70.8,73.41
28,12.67,4,29,13.12,3,25,11.31,6,24,10.86,8,32,14.48,1,30,13.57,2,28,12.67,4,25,11.31,6,6.88,6.94,6.5,7.13,7.5,6.63,37.1,38.91,25.18,79.42,75.28,74.4,73.22,68.04,66.58,67.41,70.13,71.43,72.79,69.0,66.49,68.87,72.41,67.41,72.51,71.21,73.08,71.53,75.11,69.4,74.17,74.83,75.07,72.72,65.26,74.03,74.49,73.76,70.8,73.41
35,12.68,3,32,11.59,8,35,12.68,3,34,12.32,5,36,13.04,2,37,13.41,1,34,12.32,5,33,11.96,7,9.0,8.69,8.5,8.88,9.0,8.5,36.775,38.77,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
31,11.74,6,30,11.36,8,32,12.12,5,34,12.88,3,36,13.64,1,36,13.64,1,31,11.74,6,34,12.88,3,8.5,8.25,8.08,8.5,8.58,8.13,36.775,40.15,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
28,11.07,7,32,12.65,3,28,11.07,7,31,12.25,4,35,13.83,2,31,12.25,4,38,15.02,1,30,11.86,6,7.38,7.94,8.0,7.88,7.83,7.25,34.78,38.34,26.88,76.69,75.01,76.53,77.22,80.98,79.73,80.04,78.68,79.29,79.11,81.22,86.96,84.25,86.61,85.36,76.38,75.8,76.22,77.53,76.69,74.59,80.66,81.46,78.67,77.12,72.33,75.68,72.94,76.73,70.8,73.41
29,11.98,7,30,12.4,4,28,11.57,8,30,12.4,4,32,13.22,1,32,13.22,1,30,12.4,4,31,12.81,3,7.5,7.63,7.42,7.5,7.75,7.5,35.95,38.84,25.21,84.8,80.91,78.72,78.66,76.79,73.87,75.85,72.98,71.43,74.66,75.87,75.03,73.8,78.97,76.16,76.47,70.89,75.02,72.28,79.54,76.19,78.75,79.77,79.69,76.08,70.13,79.23,80.16,80.04,70.8,73.41
25,10.55,7,28,11.81,6,23,9.7,8,30,12.66,5,33,13.92,2,34,14.35,1,32,13.5,3,32,13.5,3,7.13,7.69,7.25,7.0,7.67,7.13,32.07,40.93,25.18,66.87,69.67,66.28,79.06,73.13,70.21,70.63,76.46,70.0,74.38,74.27,73.96,74.6,74.06,74.38,77.02,68.75,75.89,73.67,72.62,72.23,80.8,81.23,79.31,78.86,71.17,73.13,67.0,75.66,70.8,73.41
32,13.22,4,26,10.74,7,30,12.4,5,23,9.5,8,33,13.64,2,35,14.46,1,33,13.64,2,30,12.4,5,8.13,8.13,7.75,7.88,8.33,7.75,36.36,37.6,25.18,68.77,67.64,78.21,72.35,83.93,84.76,82.99,80.24,81.52,80.68,82.94,83.69,85.53,81.74,87.05,78.82,81.96,75.42,81.66,72.41,74.35,79.62,80.13,79.6,79.49,74.34,70.51,70.54,72.66,70.8,73.41
23,9.39,8,28,11.43,6,31,12.65,4,37,15.1,1,34,13.88,2,34,13.88,2,30,12.24,5,28,11.43,6,8.13,7.19,7.42,8.13,7.58,6.38,33.47,42.86,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
34,13.13,2,35,13.51,1,32,12.36,5,33,12.74,3,32,12.36,5,31,11.97,7,33,12.74,3,29,11.2,8,7.88,7.94,7.83,8.0,8.08,7.88,39.0,37.07,25.18,82.23,79.47,81.7,80.88,82.59,81.34,82.9,79.22,79.82,79.96,79.77,78.93,80.69,82.59,80.71,79.06,79.73,81.2,80.69,80.8,78.81,79.18,79.95,79.89,81.19,77.08,78.97,77.05,77.12,70.8,73.41
30,13.57,3,30,13.57,3,24,10.86,5,24,10.86,5,33,14.93,1,32,14.48,2,24,10.86,5,24,10.86,5,7.0,6.88,6.0,7.13,7.92,6.75,38.01,40.27,21.72,72.28,68.88,65.94,71.09,70.27,64.43,69.64,67.08,72.59,74.02,71.18,63.45,61.91,69.33,60.27,70.49,75.45,70.16,62.85,69.71,67.21,69.65,69.74,71.88,71.79,61.29,68.48,67.84,67.44,70.8,73.41
25,12.63,5,22,11.11,6,21,10.61,7,21,10.61,7,26,13.13,4,28,14.14,1,27,13.64,3,28,14.14,1,6.13,6.75,6.33,5.88,6.58,6.63,34.34,37.88,27.78,54.62,56.44,59.91,59.03,65.36,65.57,64.73,63.57,59.91,60.11,62.66,65.92,67.45,67.86,69.73,63.49,57.99,60.41,63.95,59.94,59.57,63.11,63.96,63.82,61.05,56.08,58.91,54.32,58.43,70.8,73.41
32,11.99,7,35,13.11,1,35,13.11,1,34,12.73,3,33,12.36,5,34,12.73,3,31,11.61,8,33,12.36,5,8.63,8.13,8.25,8.5,8.25,8.13,38.2,37.83,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
26,10.79,7,27,11.2,5,29,12.03,4,26,10.79,7,39,16.18,1,34,14.11,2,27,11.2,5,33,13.69,3,7.88,7.5,7.42,8.5,8.25,7.38,34.02,41.08,25.18,60.5,64.0,64.38,80.0,68.3,68.3,67.37,70.18,65.27,70.8,74.46,70.98,70.89,70.18,73.93,78.75,67.59,79.25,73.53,71.75,74.25,81.34,79.46,82.5,77.75,72.79,72.38,65.5,76.92,70.8,73.41
30,12.93,2,30,12.93,2,28,12.07,6,27,11.64,7,31,13.36,1,30,12.93,2,29,12.5,5,27,11.64,7,7.25,7.25,7.0,7.38,7.58,7.13,37.93,37.93,24.14,73.5,69.63,70.0,72.26,72.86,69.52,72.86,69.78,72.59,75.86,71.05,66.13,67.62,70.98,66.61,71.92,72.05,73.5,70.85,71.96,69.46,72.31,72.56,73.54,74.75,67.21,70.42,69.46,70.42,70.54,72.73
